EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile
64,1,True,63,1,.\System Volume Information\EDP,Recovery,,0,1,,True,False,False,False,False,False,IsDirectory,Posix,2026-02-25 11:54:04.4473745,,2026-02-25 11:54:04.4473745,,2026-02-25 11:54:04.4473745,,2026-02-25 11:54:04.4473745,,0,67133662,268,,,,D:\$MFT
65,1,True,5,5,.,$RECYCLE.BIN,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2026-02-25 11:57:36.9510602,,2026-02-25 11:57:36.9520616,2026-02-25 11:57:36.9510602,2026-02-25 11:57:36.9520616,2026-02-25 11:57:36.9510602,2026-04-13 11:31:26.0244844,2026-02-25 11:57:36.9510602,0,687895179,269,,,,D:\$MFT
66,1,True,65,1,.\$RECYCLE.BIN,S-1-5-21-3413159508-1609183581-846010861-1001,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2026-02-25 11:57:36.9520616,,2026-04-08 14:38:09.1917229,2026-02-25 11:57:36.9520616,2026-04-08 14:38:09.1917229,2026-02-25 11:57:36.9520616,2026-04-13 11:31:26.4465815,2026-02-25 11:57:36.9520616,0,687897562,270,,,,D:\$MFT
67,1,True,66,1,.\$RECYCLE.BIN\S-1-5-21-3413159508-1609183581-846010861-1001,desktop.ini,.ini,129,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-25 11:57:36.9520616,,2026-02-25 11:57:36.9722953,2026-02-25 11:57:36.9520616,2026-02-25 11:57:36.9722953,2026-02-25 11:57:36.9520616,2026-04-13 11:31:26.0167298,2026-02-25 11:57:36.9520616,0,687897608,271,,,,D:\$MFT
68,8,True,53,8,.\VirtualBox\Windows\Snapshots,{db450458-0380-402e-a899-c8c30a96c26a}.vdi,.vdi,10980687872,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-01 15:49:42.1132537,,2026-04-01 17:40:14.5003466,2026-04-01 15:49:42.1132537,2026-04-01 17:40:14.5003466,2026-04-01 15:49:42.1132537,2026-04-09 12:38:03.7114091,2026-04-01 15:49:42.1132537,0,662591118,278,,,,D:\$MFT
69,2,True,53,8,.\VirtualBox\Windows\Snapshots,2026-04-01T15-49-42-035208600Z.sav,.sav,3831233574,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-01 15:49:42.2880090,,2026-04-01 15:50:18.1797274,2026-04-01 15:49:42.2880090,2026-04-01 15:50:18.1797274,2026-04-01 15:49:42.2880090,2026-04-09 12:40:07.7818658,2026-04-01 15:49:42.2880090,0,662591428,278,,,,D:\$MFT
70,47,True,5,5,.,TestFiles,,0,1,,True,False,False,False,False,False,None,Posix,2026-04-10 12:21:13.1719476,,2026-04-10 12:21:13.1719476,,2026-04-10 12:21:17.9347744,2026-04-10 12:21:13.1719476,2026-04-10 12:21:13.1719476,,40832,687890539,273,2bac342c-34d5-11f1-a5c0-e86f3838a0ef,,,D:\$MFT
71,5,True,5,5,.,New folder,,0,1,,True,False,False,False,False,False,None,Posix,2026-04-01 17:21:37.1527235,,2026-04-01 17:21:51.8523694,2026-04-01 17:21:37.1527235,2026-04-01 17:21:51.8523694,2026-04-01 17:21:37.1527235,2026-04-08 13:48:04.6982045,2026-04-01 17:21:37.1527235,0,656781196,273,eb506efc-2d34-11f1-a5bb-e86f3838a0ef,,,D:\$MFT
72,18,True,52,5,.\VirtualBox\Windows\Logs,VBox.log,.log,264571,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-09 12:32:25.3508504,,2026-04-09 12:38:05.5186087,2026-04-09 12:32:25.3508504,2026-04-09 12:38:05.5186087,2026-04-09 12:32:25.3508504,2026-04-09 12:38:05.5186087,2026-04-09 12:32:25.3508504,37512,662585053,282,,,,D:\$MFT
73,8,True,53,8,.\VirtualBox\Windows\Snapshots,{ad5e8c91-a0d7-4462-b909-bbbec4b713e4}.vdi,.vdi,1708130304,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-02 12:42:29.8888420,,2026-04-02 12:55:50.9124324,2026-04-02 12:42:29.8888420,2026-04-02 12:55:50.9124324,2026-04-02 12:42:29.8888420,2026-04-09 12:35:11.8080279,2026-04-02 12:42:29.8888420,0,662591186,278,,,,D:\$MFT
74,3,True,53,8,.\VirtualBox\Windows\Snapshots,2026-04-01T17-40-14-433511900Z.sav,.sav,4410655082,1,,False,False,False,False,False,False,Archive|NotContentIndexed,Posix,2026-04-01 17:40:14.5543480,,2026-04-01 17:40:58.6010631,2026-04-01 17:40:14.5543480,2026-04-01 17:40:58.6010631,2026-04-01 17:40:14.5543480,2026-04-09 12:40:11.2919067,2026-04-01 17:40:14.5543480,0,662591462,278,,,,D:\$MFT
